ssid,signal_strength_cap1_channel_cap1_2412,signal_strength_cap1_channel_cap1_2417,signal_strength_cap1_channel_cap1_2422,signal_strength_cap1_channel_cap1_2427,signal_strength_cap1_channel_cap1_2432,signal_strength_cap1_channel_cap1_2437,signal_strength_cap1_channel_cap1_2442,signal_strength_cap1_channel_cap1_2447,signal_strength_cap1_channel_cap1_2452,signal_strength_cap1_channel_cap1_2457,signal_strength_cap1_channel_cap1_2462,signal_strength_cap2_channel_cap2_2412,signal_strength_cap2_channel_cap2_2417,signal_strength_cap2_channel_cap2_2422,signal_strength_cap2_channel_cap2_2427,signal_strength_cap2_channel_cap2_2432,signal_strength_cap2_channel_cap2_2437,signal_strength_cap2_channel_cap2_2442,signal_strength_cap2_channel_cap2_2447,signal_strength_cap2_channel_cap2_2452,signal_strength_cap2_channel_cap2_2457,signal_strength_cap2_channel_cap2_2462,signal_strength_cap3_channel_cap3_2412,signal_strength_cap3_channel_cap3_2417,signal_strength_cap3_channel_cap3_2422,signal_strength_cap3_channel_cap3_2427,signal_strength_cap3_channel_cap3_2432,signal_strength_cap3_channel_cap3_2437,signal_strength_cap3_channel_cap3_2442,signal_strength_cap3_channel_cap3_2447,signal_strength_cap3_channel_cap3_2452,signal_strength_cap3_channel_cap3_2457,signal_strength_cap3_channel_cap3_2462
11,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,14
11,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,23,0,0,0
11,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,30,0,0,0,0
11,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,16,0,0
11,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,9,0
11,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,14
11,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,23,0,0,0
11,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,30,0,0,0,0
11,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
11,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
11,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
11,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
11,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
11,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
11,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
11,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
11,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
11,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
11,0,0,0,0,0,0,0,38,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
11,0,0,0,0,0,0,0,38,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
11,0,0,0,0,0,0,0,38,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
11,0,0,0,0,0,0,0,38,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
11,0,0,0,0,0,0,0,38,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
11,0,0,0,0,0,0,0,38,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
11,0,0,0,0,0,0,0,38,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
11,0,0,0,0,0,0,0,38,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
11,0,0,0,0,0,0,0,38,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
11,0,0,0,0,0,0,0,38,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,16,0,0
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,9,0
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,14
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,23,0,0,0
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,30,0,0,0,0
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,16,0,0
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,9,0
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,14
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,23,0,0,0
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,30,0,0,0,0
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,16,0,0
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,9,0
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,14
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,23,0,0,0
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,30,0,0,0,0
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,16,0,0
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,9,0
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,14
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,23,0,0,0
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,30,0,0,0,0
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
11,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
