floorid,roomid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
1,214,2457,2452,0,-80,-65,100
1,214,2462,2452,0,-74,-63,100
1,214,2457,2462,0,-80,-58,100
1,214,2462,2462,0,-78,-64,100
1,214,2457,2452,0,-80,-64,100
1,214,2462,2452,0,-74,-63,100
1,214,2457,2457,0,-80,-63,100
1,214,2462,2452,0,-76,-63,100
1,214,2462,2462,0,-74,-64,100
1,214,2462,2462,0,-77,-58,100
1,214,2462,2462,0,-75,-60,100
1,214,2462,2457,0,-78,-58,100
1,214,2462,2457,0,-76,-63,100
1,214,2462,2452,0,-74,-63,100
1,214,2462,2462,0,-74,-64,100
1,214,2462,2462,0,-77,-58,100
1,214,2462,2462,0,-75,-60,100
1,214,2462,2462,0,-76,-60,100
1,214,2462,2452,0,-82,-65,100
1,214,2457,2457,0,-74,-63,100
1,214,2462,2462,0,-78,-64,100
1,214,2462,2462,0,-78,-64,100
1,214,2462,2457,0,-82,-58,100
1,214,2457,2457,0,-74,-58,100
1,214,2462,2462,0,-78,-58,100
1,214,2457,2457,0,-80,-58,100
1,214,2462,2462,0,-78,-60,100
1,214,2462,2452,0,-76,-65,100
1,214,2462,2452,0,-78,-65,100
1,214,2462,2462,0,-78,-58,100
1,214,2462,2452,0,-77,-64,100
1,214,2457,2462,0,-80,-60,100
1,214,2462,2462,0,-76,-58,100
1,214,2462,2452,0,-74,-63,100
1,214,2462,2452,0,-74,-63,100
1,214,2462,2462,0,-75,-64,100
1,214,2462,2452,0,-78,-65,100
1,214,2462,2452,0,-77,-65,100
1,214,2462,2462,0,-75,-64,100
1,214,2457,2452,0,-74,-65,100
1,214,2462,2452,0,-75,-64,100
1,214,2462,2452,0,-74,-64,100
1,214,2462,2452,0,-74,-64,100
1,214,2462,2452,0,-78,-64,100
1,214,2462,2452,0,-74,-64,100
1,214,2457,2452,0,-80,-65,100
1,214,2462,2462,0,-75,-60,100
1,214,2457,2462,0,-80,-60,100
1,214,2462,2452,0,-82,-65,100
1,214,2457,2462,0,-80,-58,100
1,214,2457,2457,0,-80,-58,100
1,214,2462,2462,0,-77,-64,100
1,214,2457,2462,0,-80,-64,100
1,214,2462,2457,0,-77,-63,100
1,214,2457,2452,0,-80,-63,100
1,214,2462,2452,0,-78,-65,100
1,214,2462,2452,0,-74,-64,100
1,214,2457,2452,0,-80,-65,100
1,214,2457,2462,0,-80,-64,100
1,214,2462,2457,0,-78,-63,100
1,214,2462,2452,0,-76,-64,100
1,214,2462,2457,0,-74,-63,100
1,214,2462,2452,0,-76,-64,100
1,214,2462,2462,0,-74,-64,100
1,214,2457,2462,0,-80,-64,100
1,214,2462,2452,0,-82,-63,100
1,214,2462,2462,0,-82,-60,100
1,214,2462,2462,0,-82,-58,100
1,214,2462,2452,0,-74,-64,100
1,214,2462,2452,0,-76,-65,100
1,214,2462,2457,0,-76,-63,100
1,214,2462,2462,0,-82,-60,100
1,214,2462,2457,0,-77,-58,100
1,214,2462,2452,0,-82,-64,100
1,214,2457,2462,0,-74,-58,100
1,214,2462,2452,0,-77,-63,100
1,214,2462,2457,0,-82,-63,100
1,214,2462,2452,0,-75,-63,100
1,214,2462,2462,0,-82,-64,100
1,214,2462,2457,0,-76,-58,100
1,214,2462,2452,0,-77,-63,100
1,214,2462,2457,0,-82,-58,100
1,214,2462,2452,0,-74,-64,100
1,214,2462,2462,0,-74,-64,100
1,214,2462,2457,0,-78,-63,100
1,214,2462,2457,0,-74,-58,100
1,214,2462,2452,0,-74,-64,100
1,214,2462,2452,0,-76,-63,100
1,214,2462,2452,0,-75,-65,100
1,214,2457,2452,0,-80,-64,100
1,214,2462,2462,0,-82,-64,100
1,214,2457,2462,0,-80,-60,100
1,214,2462,2452,0,-78,-65,100
1,214,2457,2452,0,-80,-64,100
1,214,2462,2452,0,-76,-64,100
1,214,2462,2462,0,-74,-58,100
1,214,2462,2462,0,-77,-58,100
1,214,2462,2462,0,-82,-64,100
1,214,2457,2452,0,-74,-63,100
1,214,2457,2452,0,-74,-65,100
1,214,2462,2452,0,-77,-63,100
1,214,2462,2462,0,-76,-60,100
1,214,2462,2462,0,-82,-64,100
1,214,2457,2452,0,-80,-64,100
1,214,2462,2457,0,-74,-58,100
1,214,2462,2462,0,-78,-64,100
1,214,2462,2457,0,-76,-58,100
1,214,2462,2462,0,-76,-64,100
1,214,2462,2462,0,-75,-58,100
1,214,2462,2462,0,-76,-60,100
1,214,2462,2462,0,-76,-64,100
1,214,2462,2452,0,-75,-64,100
1,214,2457,2462,0,-80,-60,100
1,214,2457,2462,0,-80,-60,100
1,214,2462,2457,0,-77,-63,100
1,214,2462,2452,0,-74,-65,100
1,214,2462,2462,0,-75,-58,100
1,214,2462,2457,0,-74,-63,100
1,214,2462,2462,0,-75,-64,100
1,214,2462,2452,0,-76,-64,100
1,214,2457,2452,0,-74,-63,100
1,214,2462,2457,0,-82,-63,100
